level,uid_type,parent_code,code,name,description,examples,target_database,status,active,notes
L0,ALL,NULL,shopnet.network,Shopnet Network,The namespace itself - Level 0 contains the entire SND system,shopnet.network domain,shopnet_connect,live,TRUE,Root of all UIDs
L1,sn_,shopnet.network,sn_,Sites/Endpoints,Digital network endpoints and infrastructure,shopnet.network website,shopnet_sites,live,TRUE,Existing - unchanged
L1,sg_,shopnet.network,sg_,Thing,Discoverable entities that humans or agents can find,"iPhone, domain name, article, consulting service",shopnet_things,WIP,TRUE,NEW - replaces external pointers
L1,sc_,shopnet.network,sc_,Location,Physical places on or above Earth (lat/long),Apple Store location,shopnet_locations,WIP,TRUE,NEW - physical world equivalent to sn_
L1,st_,shopnet.network,st_,Transaction (Non-Financial),Non-monetary transactional exchanges,"Email sent, package shipped, receipt issued",shopnet_transactions,WIP,TRUE,NEW - opposite direction to payments
L1,sp_,shopnet.network,sp_,Payment,Financial transactions requiring regulatory separation,Credit card payment,shopnet_payments,WIP,TRUE,Separate from st_ for compliance
L1,sl_,shopnet.network,sl_,List,Collections of UIDs or things owned by users,Wedding gift registry,shopnet_registry,designed,TRUE,Existing - SQL ready
L1,su_,shopnet.network,su_,User,Identity - persons or entities that own data,John Smith or Walmart Inc,shopnet_crm,designed,TRUE,Existing - SQL ready
L1,sa_,shopnet.network,sa_,Agent,Software agents under user direction (First Law),Product Assist chatbot,shopnet_assist,live,TRUE,Existing - 8 agents registered
L1,sv_,shopnet.network,sv_,Activity,Goal-oriented workflow activities,Wedding planning project,shopnet_activities,WIP,TRUE,NEW - project/task management
L2,sn_,sn_,W,Website,Web-accessible sites,shopnet.network console,shopnet_sites,live,TRUE,9 platform types
L2,sn_,sn_,A,Agent Platform,Infrastructure hosting AI agents,Claude agent platform,shopnet_sites,live,TRUE,5 platform types - hosts sa_ agents
L2,sn_,sn_,D,Database,Data storage systems,PostgreSQL RDS instance,shopnet_sites,live,TRUE,5 platform types
L2,sn_,sn_,N,Node,Network service nodes,API Gateway,shopnet_sites,live,TRUE,6 platform types
L2,sn_,sn_,I,Infrastructure,Infrastructure components,Lambda function,shopnet_sites,live,TRUE,10 platform types
L2,sn_,sn_,O,Other,Uncategorized endpoints,Miscellaneous,shopnet_sites,live,TRUE,1 platform type
L2,sn_,W,CO,CloudFront On-Demand,Lambda-backed site that scales to zero,On-demand brochure site,shopnet_sites,live,TRUE,
L2,sn_,W,CP,CloudFront Persistent,nginx on EC2 always running,Persistent website,shopnet_sites,live,TRUE,
L2,sn_,W,WP,WordPress,PHP on EC2 with WordPress,WordPress blog,shopnet_sites,live,TRUE,
L2,sn_,W,SH,Shopify,External Shopify store,E-commerce store,shopnet_sites,live,TRUE,
L2,sn_,W,WW,WooCommerce,WordPress with WooCommerce,WooCommerce store,shopnet_sites,live,TRUE,
L2,sn_,W,CL,Custom Lambda,Custom Lambda function,Custom API,shopnet_sites,live,TRUE,
L2,sn_,W,S3,S3 Static,Static files on S3,Static website,shopnet_sites,live,TRUE,
L2,sn_,W,LM,Lightsail,Amazon Lightsail instance,Lightsail-hosted site,shopnet_sites,live,TRUE,
L2,sn_,W,L3,Layer3 Web3,Lambda@Edge with IP certs for emoji TLDs,Emoji domain site,shopnet_sites,live,TRUE,
L2,sn_,A,CL,Claude Agent Platform,Anthropic Claude-based agent platform,Claude infrastructure,shopnet_sites,live,TRUE,Can host multiple sa_ agents
L2,sn_,A,GP,GPT Agent Platform,OpenAI GPT-based agent platform,GPT infrastructure,shopnet_sites,live,TRUE,Can host multiple sa_ agents
L2,sn_,A,GM,Gemini Agent Platform,Google Gemini-based agent platform,Gemini infrastructure,shopnet_sites,live,TRUE,Can host multiple sa_ agents
L2,sn_,A,CA,Custom Agent Platform,Custom AI agent implementation,Custom agent infra,shopnet_sites,live,TRUE,Can host multiple sa_ agents
L2,sn_,A,OT,Other Agent Platform,Other AI agent platform,Other agent infra,shopnet_sites,live,TRUE,Can host multiple sa_ agents
L2,sn_,D,RD,RDS PostgreSQL,Amazon RDS PostgreSQL database,shopnet_sites database,shopnet_sites,live,TRUE,
L2,sn_,D,DY,DynamoDB,Amazon DynamoDB NoSQL database,User sessions table,shopnet_sites,live,TRUE,
L2,sn_,D,S3,S3 Data Lake,S3 as data store,Backup bucket,shopnet_sites,live,TRUE,
L2,sn_,D,GIT,GitHub Repository,GitHub code repository,GitHub repo,shopnet_sites,live,TRUE,
L2,sn_,D,TPD,Third Party DB API,External database API,External API,shopnet_sites,live,TRUE,
L2,sn_,N,W3G,Web3 Gateway,Web3 domain resolution gateway,Emoji TLD gateway,shopnet_sites,live,TRUE,
L2,sn_,N,API,API Hub,API service endpoint,REST API endpoint,shopnet_sites,live,TRUE,
L2,sn_,N,RDH,Redirect Hub,URL redirect service,Link shortener,shopnet_sites,live,TRUE,
L2,sn_,N,W3S,Web3 DAAS,Web3 decentralized service,IPFS node,shopnet_sites,live,TRUE,
L2,sn_,N,LLM,LLM Service,Large language model service,Ollama server,shopnet_sites,live,TRUE,
L2,sn_,N,OTH,Other Node,Other network node,Custom node,shopnet_sites,live,TRUE,
L2,sn_,I,S3B,S3 Bucket,S3 storage bucket,Asset bucket,shopnet_sites,live,TRUE,
L2,sn_,I,LMB,Lambda Function,Standalone Lambda function,Processing function,shopnet_sites,live,TRUE,
L2,sn_,I,SQS,SQS Queue,Message queue,Job queue,shopnet_sites,live,TRUE,
L2,sn_,I,SNS,SNS Topic,Notification topic,Alert topic,shopnet_sites,live,TRUE,
L2,sn_,I,LS,Lightsail Instance,Amazon Lightsail virtual server,Lightsail VM,shopnet_sites,live,TRUE,
L2,sn_,I,EC2,EC2 Instance,Amazon EC2 instance,EC2 server,shopnet_sites,live,TRUE,
L2,sn_,I,RDS,RDS Instance,Amazon RDS database instance,Database server,shopnet_sites,live,TRUE,
L2,sn_,I,CF,CloudFront Distribution,Amazon CloudFront CDN,CDN distribution,shopnet_sites,live,TRUE,
L2,sn_,I,AGW,API Gateway,AWS API Gateway,API Gateway,shopnet_sites,live,TRUE,
L2,sn_,sn_,U,User Device,"End-user client devices (phones, tablets, laptops, desktops, watches, TVs)","iPhone, Android phone, MacBook, Windows PC",shopnet_sites,WIP,TRUE,"Added Feb 9, 2026 - Moved from Infrastructure. Pulse method: none (pending client app)"
L2,sn_,U,iOS,Apple iOS,Apple iOS ecosystem,"iPhone, iPad",shopnet_sites,WIP,TRUE,iOS devices require Apple Developer account
L2,sn_,U,Android,Google Android,Android ecosystem,"Samsung Galaxy, Google Pixel",shopnet_sites,WIP,TRUE,Android devices use Google Play Services
L2,sn_,U,Windows,Microsoft Windows,Windows OS,"Surface, Dell PC",shopnet_sites,WIP,TRUE,Windows 10/11 desktop and tablet devices
L2,sn_,U,macOS,Apple macOS,Apple desktop/laptop OS,"MacBook, iMac",shopnet_sites,WIP,TRUE,"macOS devices (Ventura, Sonoma, etc.)"
L2,sn_,U,Linux,Linux,Linux distributions,"Ubuntu laptop, Debian desktop",shopnet_sites,WIP,TRUE,Various Linux distributions
L2,sn_,U,ChromeOS,Chrome OS,Google Chrome OS,Chromebook,shopnet_sites,WIP,TRUE,Chrome OS laptops and tablets
L2,sn_,U,Other,Other OS,Other operating systems,Custom OS,shopnet_sites,WIP,TRUE,Other or custom operating systems
L3,sn_,iOS,phone,Smartphone,Mobile phone device,"iPhone 15, iPhone SE",shopnet_sites,WIP,TRUE,
L3,sn_,iOS,tablet,Tablet,Tablet device,"iPad Pro, iPad Air",shopnet_sites,WIP,TRUE,
L3,sn_,iOS,watch,Smartwatch,Wearable watch device,Apple Watch Series 9,shopnet_sites,WIP,TRUE,
L3,sn_,iOS,tv,Smart TV,Television/streaming device,Apple TV 4K,shopnet_sites,WIP,TRUE,
L3,sn_,Android,phone,Smartphone,Mobile phone device,"Samsung Galaxy S24, Pixel 8",shopnet_sites,WIP,TRUE,
L3,sn_,Android,tablet,Tablet,Tablet device,"Samsung Tab S9, Pixel Tablet",shopnet_sites,WIP,TRUE,
L3,sn_,Android,watch,Smartwatch,Wearable watch device,"Samsung Galaxy Watch, Wear OS watch",shopnet_sites,WIP,TRUE,
L3,sn_,Android,tv,Smart TV,Television/streaming device,"Android TV, Google TV",shopnet_sites,WIP,TRUE,
L3,sn_,Windows,laptop,Laptop,Portable computer,"Surface Laptop, Dell XPS",shopnet_sites,WIP,TRUE,
L3,sn_,Windows,desktop,Desktop,Desktop computer,"Dell Desktop, HP Desktop",shopnet_sites,WIP,TRUE,
L3,sn_,Windows,tablet,Tablet,Tablet device,Surface Pro,shopnet_sites,WIP,TRUE,
L3,sn_,macOS,laptop,Laptop,Portable computer,"MacBook Pro, MacBook Air",shopnet_sites,WIP,TRUE,
L3,sn_,macOS,desktop,Desktop,Desktop computer,"iMac, Mac Studio, Mac Pro",shopnet_sites,WIP,TRUE,
L3,sn_,Linux,laptop,Laptop,Portable computer,"Ubuntu laptop, System76",shopnet_sites,WIP,TRUE,
L3,sn_,Linux,desktop,Desktop,Desktop computer,"Debian desktop, Fedora workstation",shopnet_sites,WIP,TRUE,
